"","State","County","Days.with.AQI","Good.Days","Moderate.Days","Unhealthy.for.Sensitive.Groups.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days","Max.AQI","X90th.Percentile.AQI","Median.AQI","Days.CO","Days.NO2","Days.Ozone","Days.SO2","Days.PM2.5","Days.PM10"
"1","AL","Baldwin County",271,237,34,0,0,0,0,80,52,37,0,0,220,0,51,0
"2","AL","Clay County",107,97,10,0,0,0,0,67,50,30,0,0,0,0,107,0
"3","AL","Colbert County",263,252,11,0,0,0,0,61,47,37,0,0,228,0,35,0
"4","AL","DeKalb County",361,324,37,0,0,0,0,90,51,39,0,0,331,0,30,0
"5","AL","Elmore County",228,208,20,0,0,0,0,100,50,39,0,0,228,0,0,0
"6","AL","Etowah County",279,232,47,0,0,0,0,90,58,43,0,0,218,0,61,0
"7","AL","Houston County",280,256,24,0,0,0,0,77,50,35,0,0,208,0,72,0
"8","AL","Jefferson County",365,157,195,13,0,0,0,150,79,53,0,2,122,4,236,1
"9","AL","Lawrence County",112,111,1,0,0,0,0,53,38,24,0,0,0,0,112,0
"10","AL","Madison County",361,255,106,0,0,0,0,93,58,44,0,0,155,0,199,7
"11","AL","Mobile County",364,258,106,0,0,0,0,80,60,42,0,0,105,16,243,0
"12","AL","Montgomery County",365,171,193,1,0,0,0,122,67,52,0,0,50,0,314,1
"13","AL","Morgan County",365,306,59,0,0,0,0,93,54,41,0,0,195,0,170,0
"14","AL","Russell County",363,268,95,0,0,0,0,84,59,40,0,0,116,0,247,0
"15","AL","Shelby County",359,308,44,7,0,0,0,119,58,34,0,0,232,127,0,0
"16","AL","Sumter County",361,335,26,0,0,0,0,64,48,32,0,0,183,10,168,0
"17","AL","Tuscaloosa County",264,240,24,0,0,0,0,87,50,35,0,0,188,0,76,0
"18","AK","Aleutians East  Borough",121,121,0,0,0,0,0,47,22,10,0,0,0,0,121,0
"19","AK","Anchorage  Borough",365,289,67,5,4,0,0,160,63,27,8,0,0,0,252,105
"20","AK","Bethel  Borough",317,304,11,1,1,0,0,176,31,10,0,0,0,0,186,131
"21","AK","Denali  Borough",360,356,4,0,0,0,0,80,44,36,0,0,351,0,9,0
"22","AK","Fairbanks North Star  Borough",365,230,96,18,16,1,4,377,103,38,0,13,130,1,215,6
"23","AK","Juneau  Borough",362,308,51,3,0,0,0,145,55,20,0,0,0,0,335,27
"24","AK","Kenai Peninsula  Borough",118,115,2,1,0,0,0,140,21,8,0,0,0,0,118,0
"25","AK","Matanuska-Susitna  Borough",361,295,63,3,0,0,0,127,63,19,0,0,0,0,291,70
"26","AK","North Slope  Borough",110,109,1,0,0,0,0,65,11,5,0,0,0,0,110,0
"27","AZ","Apache County",359,358,1,0,0,0,0,59,20,10,0,0,0,0,36,323
"28","AZ","Cochise County",365,266,99,0,0,0,0,97,64,45,0,0,327,0,13,25
"29","AZ","Coconino County",365,289,76,0,0,0,0,80,61,45,0,0,356,0,9,0
