"","State","County","County.Code","Deaths","Population","Crude.Rate","Age.Adjusted.Rate"
"1"," AL","Baldwin County",1003,39,223234,"17.5","18"
"2"," AL","Blount County",1009,16,57826,NA,NA
"3"," AL","Calhoun County",1015,19,113605,NA,NA
"4"," AL","Colbert County",1033,13,55241,NA,NA
"5"," AL","Cullman County",1043,17,83768,NA,NA
"6"," AL","DeKalb County",1049,25,71513,"35","35.5"
"7"," AL","Elmore County",1051,17,81209,NA,NA
"8"," AL","Etowah County",1055,22,102268,"21.5","22.1"
"9"," AL","Houston County",1069,20,105882,"18.9","18.5"
"10"," AL","Jefferson County",1073,103,658573,"15.6","15.8"
"11"," AL","Lauderdale County",1077,12,92729,NA,NA
"12"," AL","Lee County",1081,24,164542,"14.6","13.9"
"13"," AL","Madison County",1089,69,372909,"18.5","18.2"
"14"," AL","Marshall County",1095,11,96774,NA,NA
"15"," AL","Mobile County",1097,64,413210,"15.5","15"
"16"," AL","Montgomery County",1101,26,226486,"11.5","11.6"
"17"," AL","Morgan County",1103,28,119679,"23.4","24"
"18"," AL","Russell County",1113,10,57961,NA,NA
"19"," AL","St. Clair County",1115,15,89512,NA,NA
"20"," AL","Shelby County",1117,23,217702,"10.6","9.9"
"21"," AL","Talladega County",1121,15,79978,NA,NA
"22"," AL","Tuscaloosa County",1125,27,209355,"12.9","12.5"
"23"," AL","Walker County",1127,15,63521,NA,NA
"24"," AK","Anchorage Borough",2020,67,288000,"23.3","23.4"
"25"," AK","Bethel Census Area",2050,15,18386,NA,NA
"26"," AK","Fairbanks North Star Borough",2090,35,96849,"36.1","35.4"
"27"," AK","Kenai Peninsula Borough",2122,12,58708,NA,NA
"28"," AK","Matanuska-Susitna Borough",2170,26,108317,"24","22"
"29"," AK","Wade Hampton Census Area",2270,10,8314,NA,NA
"30"," AZ","Apache County",4001,15,71887,NA,NA
"31"," AZ","Cochise County",4003,36,125922,"28.6","27.6"
"32"," AZ","Coconino County",4005,43,143476,"30","29.7"
"33"," AZ","Gila County",4007,22,54018,"40.7","46.2"
"34"," AZ","Maricopa County",4013,732,4485414,"16.3","15.7"
"35"," AZ","Mohave County",4015,72,212181,"33.9","30"
"36"," AZ","Navajo County",4017,31,110924,"27.9","29.8"
"37"," AZ","Pima County",4019,247,1047279,"23.6","22.7"
"38"," AZ","Pinal County",4021,73,462789,"15.8","15.7"
"39"," AZ","Yavapai County",4025,98,235099,"41.7","31.5"
"40"," AZ","Yuma County",4027,31,213787,"14.5","14.9"
"41"," AR","Baxter County",5005,14,41932,NA,NA
"42"," AR","Benton County",5007,39,279141,"14","14"
"43"," AR","Boone County",5009,12,37432,NA,NA
"44"," AR","Craighead County",5031,15,110332,NA,NA
"45"," AR","Crawford County",5033,10,63257,NA,NA
"46"," AR","Crittenden County",5035,12,47955,NA,NA
"47"," AR","Faulkner County",5045,18,126007,NA,NA
"48"," AR","Garland County",5051,32,99386,"32.2","31.3"
"49"," AR","Greene County",5055,11,45325,NA,NA
"50"," AR","Independence County",5063,10,37825,NA,NA
"51"," AR","Pope County",5115,10,64072,NA,NA
"52"," AR","Pulaski County",5119,64,391911,"16.3","16.1"
"53"," AR","Saline County",5125,31,122437,"25.3","23.6"
"54"," AR","Sebastian County",5131,15,127827,NA,NA
"55"," AR","Washington County",5143,35,239187,"14.6","15.1"
"56"," AR","White County",5145,12,78753,NA,NA
"57"," CA","Alameda County",6001,160,1671329,"9.6","9"
"58"," CA","Amador County",6005,14,39752,NA,NA
"59"," CA","Butte County",6007,44,219186,"20.1","19.9"
"60"," CA","Contra Costa County",6013,115,1153526,"10","9.4"
"61"," CA","El Dorado County",6017,42,192843,"21.8","21.4"
"62"," CA","Fresno County",6019,103,999101,"10.3","10.5"
"63"," CA","Humboldt County",6023,30,135558,"22.1","19.6"
"64"," CA","Imperial County",6025,11,181215,NA,NA
"65"," CA","Kern County",6029,127,900202,"14.1","15"
"66"," CA","Kings County",6031,26,152940,"17","17.5"
"67"," CA","Lake County",6033,17,64386,NA,NA
"68"," CA","Los Angeles County",6037,863,10039107,"8.6","8.1"
"69"," CA","Madera County",6039,18,157327,NA,NA
"70"," CA","Marin County",6041,47,258826,"18.2","16.6"
"71"," CA","Mendocino County",6045,21,86749,"24.2","21.6"
"72"," CA","Merced County",6047,28,277680,"10.1","11.1"
"73"," CA","Monterey County",6053,42,434061,"9.7","9.4"
"74"," CA","Napa County",6055,19,137744,NA,NA
"75"," CA","Nevada County",6057,20,99755,"20","16.9"
"76"," CA","Orange County",6059,345,3175692,"10.9","10"
"77"," CA","Placer County",6061,59,398329,"14.8","12.5"
"78"," CA","Riverside County",6065,320,2470546,"13","12.6"
"79"," CA","Sacramento County",6067,207,1552058,"13.3","13.1"
"80"," CA","San Bernardino County",6071,236,2180085,"10.8","10.7"
"81"," CA","San Diego County",6073,426,3338330,"12.8","12.2"
"82"," CA","San Francisco County",6075,90,881549,"10.2","9"
"83"," CA","San Joaquin County",6077,82,762148,"10.8","10.8"
"84"," CA","San Luis Obispo County",6079,47,283111,"16.6","15.5"
"85"," CA","San Mateo County",6081,62,766573,"8.1","7.5"
"86"," CA","Santa Barbara County",6083,61,446499,"13.7","13.2"
"87"," CA","Santa Clara County",6085,172,1927852,"8.9","8.4"
"88"," CA","Santa Cruz County",6087,44,273213,"16.1","14"
"89"," CA","Shasta County",6089,52,180080,"28.9","28.1"
"90"," CA","Siskiyou County",6093,12,43539,NA,NA
"91"," CA","Solano County",6095,60,447643,"13.4","12.8"
"92"," CA","Sonoma County",6097,83,494336,"16.8","14.9"
"93"," CA","Stanislaus County",6099,74,550660,"13.4","13.4"
"94"," CA","Sutter County",6101,12,96971,NA,NA
"95"," CA","Tehama County",6103,11,65084,NA,NA
"96"," CA","Tulare County",6107,29,466195,"6.2","6.7"
"97"," CA","Tuolumne County",6109,11,54478,NA,NA
"98"," CA","Ventura County",6111,95,846006,"11.2","10.2"
"99"," CA","Yolo County",6113,24,220500,"10.9","11.2"
"100"," CA","Yuba County",6115,17,78668,NA,NA
"101"," CO","Adams County",8001,102,517421,"19.7","20.4"
"102"," CO","Arapahoe County",8005,122,656590,"18.6","18"
"103"," CO","Boulder County",8013,55,326196,"16.9","15.8"
"104"," CO","Broomfield County",8014,13,70465,NA,NA
"105"," CO","Chaffee County",8015,11,20356,NA,NA
"106"," CO","Denver County",8031,159,727211,"21.9","20.9"
"107"," CO","Douglas County",8035,56,351154,"15.9","15.7"
"108"," CO","Eagle County",8037,10,55127,NA,NA
"109"," CO","El Paso County",8041,206,720403,"28.6","28.2"
"110"," CO","Fremont County",8043,23,47839,"48.1","44.7"
"111"," CO","Garfield County",8045,20,60061,"33.3","32.6"
"112"," CO","Jefferson County",8059,112,582881,"19.2","17.7"
"113"," CO","La Plata County",8067,11,56221,NA,NA
"114"," CO","Larimer County",8069,81,356899,"22.7","22.6"
"115"," CO","Mesa County",8077,46,154210,"29.8","31.3"
"116"," CO","Montrose County",8085,16,42758,NA,NA
"117"," CO","Park County",8093,15,18845,NA,NA
"118"," CO","Pueblo County",8101,50,168424,"29.7","30.3"
"119"," CO","Weld County",8123,71,324492,"21.9","22"
"120"," CT","Fairfield County",9001,90,943332,"9.5","9.1"
"121"," CT","Hartford County",9003,108,891720,"12.1","11.4"
"122"," CT","Litchfield County",9005,24,180333,"13.3","12.9"
"123"," CT","Middlesex County",9007,31,162436,"19.1","15.5"
"124"," CT","New Haven County",9009,95,854757,"11.1","10.1"
"125"," CT","New London County",9011,44,265206,"16.6","17"
"126"," CT","Tolland County",9013,25,150721,"16.6","14.5"
"127"," CT","Windham County",9015,18,116782,NA,NA
"128"," DE","Kent County",10001,23,180786,"12.7","14"
"129"," DE","New Castle County",10003,63,558753,"11.3","10.5"
"130"," DE","Sussex County",10005,25,234225,"10.7","10.5"
"131"," DC","District of Columbia",11001,44,705749,"6.2","6.2"
"132"," FL","Alachua County",12001,31,269043,"11.5","11.7"
"133"," FL","Bay County",12005,35,174705,"20","18.3"
"134"," FL","Brevard County",12009,139,601942,"23.1","19.6"
"135"," FL","Broward County",12011,241,1952778,"12.3","11.1"
"136"," FL","Charlotte County",12015,50,188910,"26.5","23.5"
"137"," FL","Citrus County",12017,46,149657,"30.7","25.9"
"138"," FL","Clay County",12019,43,219252,"19.6","18"
"139"," FL","Collier County",12021,48,384902,"12.5","12.1"
"140"," FL","Columbia County",12023,20,71686,"27.9","28.1"
"141"," FL","Duval County",12031,177,957755,"18.5","17.7"
"142"," FL","Escambia County",12033,53,318316,"16.7","15.5"
"143"," FL","Flagler County",12035,25,115081,"21.7","18.7"
"144"," FL","Gadsden County",12039,13,45660,NA,NA
"145"," FL","Hernando County",12053,43,193920,"22.2","19.5"
"146"," FL","Highlands County",12055,28,106221,"26.4","23.3"
"147"," FL","Hillsborough County",12057,220,1471968,"14.9","14"
"148"," FL","Indian River County",12061,29,159923,"18.1","16.1"
"149"," FL","Lake County",12069,78,367118,"21.2","19.3"
"150"," FL","Lee County",12071,124,770577,"16.1","14.1"
"151"," FL","Leon County",12073,33,293582,"11.2","11.2"
"152"," FL","Manatee County",12081,76,403253,"18.8","16.7"
"153"," FL","Marion County",12083,78,365579,"21.3","18.2"
"154"," FL","Martin County",12085,32,161000,"19.9","15.7"
"155"," FL","Miami-Dade County",12086,278,2716940,"10.2","9.2"
"156"," FL","Monroe County",12087,22,74228,"29.6","24.6"
"157"," FL","Nassau County",12089,17,88625,NA,NA
"158"," FL","Okaloosa County",12091,37,210738,"17.6","17.5"
"159"," FL","Orange County",12095,139,1393452,"10","9.5"
"160"," FL","Osceola County",12097,52,375751,"13.8","13.4"
"161"," FL","Palm Beach County",12099,235,1496770,"15.7","13.9"
"162"," FL","Pasco County",12101,121,553947,"21.8","20.1"
"163"," FL","Pinellas County",12103,189,974996,"19.4","16.8"
"164"," FL","Polk County",12105,135,724777,"18.6","17.1"
"165"," FL","Putnam County",12107,12,74521,NA,NA
"166"," FL","St. Johns County",12109,52,264672,"19.6","16.9"
"167"," FL","St. Lucie County",12111,47,328297,"14.3","12.7"
"168"," FL","Santa Rosa County",12113,35,184313,"19","18.3"
"169"," FL","Sarasota County",12115,87,433742,"20.1","19.1"
"170"," FL","Seminole County",12117,55,471826,"11.7","10.8"
"171"," FL","Sumter County",12119,36,132420,"27.2","25.5"
