"","State","County","FIPS","Population","Age.Adjusted.Rate","per_unhealthy_days","Median.AQI","Avg_Temperature","Total_Precipitation","UnempRate2019","MedHHInc","Deep_Pov_All","PovertyAllAgesPct","PerCapitaInc","AvgHHSize","PctEmpFIRE","PctEmpConstruction","PctEmpTrans","PctEmpMining","PctEmpTrade","PctEmpInformation","PctEmpAgriculture","PctEmpManufacturing","PctEmpServices","HispanicPct2010","NativeAmericanNonHispanicPct2010","WhiteNonHispanicPct2010","BlackNonHispanicPct2010","AsianNonHispanicPct2010","Ed1LessThanHSPct","Ed2HSDiplomaOnlyPct","Ed3SomeCollegePct","Ed4AssocDegreePct","Ed5CollegePlusPct","Net_International_Migration_Rate_2010_2019","per_gop","per_dem","per_point_diff"
"1","AL","Baldwin County",1003,223234,18,0,37,68.8,61.11,2.7,57588,4.482528095,9.8,31203,2.61,7.398879834,8.269525268,4.925090224,0.371603894,16.80035126,1.369686975,0.956317802,9.119823515,45.7222716,4.38,0.63,83.5,9.31,0.74,9.735422379,27.60682772,21.95130248,9.360564396,31.34588303,0.714,0.761713728243328,0.22409029987509,0.537623428368238
"2","AL","DeKalb County",1049,71513,35.5,0,39,61.2,66.21,2.8,39491,8.673360393,21.3,21004,2.69,3.81674058,7.525229598,6.372874254,0.052379788,14.31015819,0.883472431,2.887872333,28.43524112,31.9796068,13.63,1.22,81.56,1.45,0.23,25.88770992,33.32776339,18.6231097,9.451499708,12.70991729,0.701,0.843677612753781,0.145830494617795,0.697847118135986
"3","AL","Etowah County",1055,102268,22.1,0,43,63.5,68.12,3.3,44903,6.089465805,17.5,24065,2.62,3.937026459,6.089645243,4.62860245,0.167583261,14.42396205,1.907144712,0.535794368,18.97703401,44.14284703,3.3,0.36,79.28,15.05,0.63,15.48301965,32.87033822,25.02396,8.889506216,17.73317591,0.252,0.744384847468991,0.242352497485753,0.502032349983238
"4","AL","Houston County",1069,105882,18.5,0,35,69,48.65,3,47993,7.687317862,16.5,25990,2.63,4.19949877,5.75511955,7.841322165,0.051929286,18.12332076,1.433699849,1.481113545,9.593371114,46.81989569,2.95,0.39,68.67,25.64,0.79,14.31141733,31.63268153,23.70080058,9.328014728,21.02708583,0.239,0.706430164814935,0.279752236155329,0.426677928659606
"5","AL","Jefferson County",1073,658573,15.8,0.0356164383561644,53,64.5,57.7,2.9,55013,7.161235922,16.1,30657,2.47,8.559392649,5.209504411,5.527596651,0.531696801,13.75831603,2.197217189,0.186160012,9.094396022,50.89541974,3.87,0.22,51.67,41.84,1.38,10.25667882,26.75026519,22.29861031,8.278215059,32.41623062,0.843,0.426097444207115,0.557585131717856,-0.131487687510741
"6","AL","Madison County",1089,372909,18.2,0,44,62.2,70.07,2.5,63755,5.896930782,11.9,35526,2.4,3.601323053,4.348581657,3.132693433,0.055030672,12.45894422,2.235983108,0.581587316,11.47244701,53.03740348,4.6,0.7,66.14,23.75,2.44,8.867239576,20.82490719,20.46557417,8.145702156,41.6965769,1.254,0.527707465843803,0.44815600178675,0.0795514640570528
"7","AL","Mobile County",1097,413210,15,0,42,68.8,65.69,3.7,43598,8.77858173,20.8,25215,2.6,5.186851787,7.10501696,5.575420854,0.421858588,15.43084102,1.465312893,0.646275878,12.691343,47.77849841,2.41,0.86,59.06,34.45,1.82,13.77282597,33.48445619,21.80238316,8.000749012,22.93958567,1.111,0.552745080911096,0.433895306938045,0.118849773973052
"8","AL","Montgomery County",1101,226486,11.6,0.00273972602739726,52,67.2,51.27,3.1,49640,9.795374192,20.1,28008,2.45,6.006023917,3.897653058,4.069622958,0.101392658,13.65222318,1.281324864,0.310142248,11.53092973,48.50048211,3.62,0.23,38.41,54.47,2.09,14.42662721,25.51885472,21.1694059,6.806760774,32.07835139,1.636,0.336002985706937,0.650894199053854,-0.314891213346917
"9","AL","Morgan County",1103,119679,24,0,41,62.6,68.17,2.6,52797,5.459870719,13.2,25907,2.57,3.492322326,8.62500728,4.119348514,0,15.21945917,1.226874769,0.72797158,19.69794033,42.36988721,7.66,0.78,77.48,11.77,0.56,16.66160149,29.60090444,23.3901849,8.649299182,21.69800999,0.831,0.738319496668032,0.24634228062991,0.491977216038122
"10","AL","Shelby County",1117,217702,9.9,0.0194986072423398,34,64.5,57.02,2.2,75663,3.402041032,8,36576,2.66,10.76009232,6.568045099,5.888918316,0.406719383,15.23400552,2.507472286,0.351859559,7.624569634,46.93541675,5.93,0.23,80.16,10.56,1.9,7.849562829,20.29395769,22.3194489,7.40681346,42.13021712,0.936,0.693344932579382,0.289412788168769,0.403932144410613
