Notes,County,County Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,"Baldwin County, AL",1003,39,223234,17.5,18
,"Blount County, AL",1009,16,57826,Unreliable,Unreliable
,"Calhoun County, AL",1015,19,113605,Unreliable,Unreliable
,"Colbert County, AL",1033,13,55241,Unreliable,Unreliable
,"Cullman County, AL",1043,17,83768,Unreliable,Unreliable
,"DeKalb County, AL",1049,25,71513,35,35.5
,"Elmore County, AL",1051,17,81209,Unreliable,Unreliable
,"Etowah County, AL",1055,22,102268,21.5,22.1
,"Houston County, AL",1069,20,105882,18.9,18.5
,"Jefferson County, AL",1073,103,658573,15.6,15.8
,"Lauderdale County, AL",1077,12,92729,Unreliable,Unreliable
,"Lee County, AL",1081,24,164542,14.6,13.9
,"Madison County, AL",1089,69,372909,18.5,18.2
,"Marshall County, AL",1095,11,96774,Unreliable,Unreliable
,"Mobile County, AL",1097,64,413210,15.5,15
,"Montgomery County, AL",1101,26,226486,11.5,11.6
,"Morgan County, AL",1103,28,119679,23.4,24
,"Russell County, AL",1113,10,57961,Unreliable,Unreliable
,"St. Clair County, AL",1115,15,89512,Unreliable,Unreliable
,"Shelby County, AL",1117,23,217702,10.6,9.9
,"Talladega County, AL",1121,15,79978,Unreliable,Unreliable
,"Tuscaloosa County, AL",1125,27,209355,12.9,12.5
,"Walker County, AL",1127,15,63521,Unreliable,Unreliable
,"Anchorage Borough, AK",2020,67,288000,23.3,23.4
,"Bethel Census Area, AK",2050,15,18386,Unreliable,Unreliable
,"Fairbanks North Star Borough, AK",2090,35,96849,36.1,35.4
,"Kenai Peninsula Borough, AK",2122,12,58708,Unreliable,Unreliable
,"Matanuska-Susitna Borough, AK",2170,26,108317,24,22
,"Wade Hampton Census Area, AK",2270,10,8314,Unreliable,Unreliable
,"Apache County, AZ",4001,15,71887,Unreliable,Unreliable
,"Cochise County, AZ",4003,36,125922,28.6,27.6
,"Coconino County, AZ",4005,43,143476,30,29.7
,"Gila County, AZ",4007,22,54018,40.7,46.2
,"Maricopa County, AZ",4013,732,4485414,16.3,15.7
,"Mohave County, AZ",4015,72,212181,33.9,30
,"Navajo County, AZ",4017,31,110924,27.9,29.8
,"Pima County, AZ",4019,247,1047279,23.6,22.7
,"Pinal County, AZ",4021,73,462789,15.8,15.7
,"Yavapai County, AZ",4025,98,235099,41.7,31.5
,"Yuma County, AZ",4027,31,213787,14.5,14.9
,"Baxter County, AR",5005,14,41932,Unreliable,Unreliable
,"Benton County, AR",5007,39,279141,14,14
,"Boone County, AR",5009,12,37432,Unreliable,Unreliable
,"Craighead County, AR",5031,15,110332,Unreliable,Unreliable
,"Crawford County, AR",5033,10,63257,Unreliable,Unreliable
,"Crittenden County, AR",5035,12,47955,Unreliable,Unreliable
,"Faulkner County, AR",5045,18,126007,Unreliable,Unreliable
,"Garland County, AR",5051,32,99386,32.2,31.3
,"Greene County, AR",5055,11,45325,Unreliable,Unreliable
,"Independence County, AR",5063,10,37825,Unreliable,Unreliable
,"Pope County, AR",5115,10,64072,Unreliable,Unreliable
,"Pulaski County, AR",5119,64,391911,16.3,16.1
,"Saline County, AR",5125,31,122437,25.3,23.6
,"Sebastian County, AR",5131,15,127827,Unreliable,Unreliable
,"Washington County, AR",5143,35,239187,14.6,15.1
,"White County, AR",5145,12,78753,Unreliable,Unreliable
,"Alameda County, CA",6001,160,1671329,9.6,9
,"Amador County, CA",6005,14,39752,Unreliable,Unreliable
,"Butte County, CA",6007,44,219186,20.1,19.9
,"Contra Costa County, CA",6013,115,1153526,10,9.4
,"El Dorado County, CA",6017,42,192843,21.8,21.4
,"Fresno County, CA",6019,103,999101,10.3,10.5
,"Humboldt County, CA",6023,30,135558,22.1,19.6
,"Imperial County, CA",6025,11,181215,Unreliable,Unreliable
,"Kern County, CA",6029,127,900202,14.1,15
,"Kings County, CA",6031,26,152940,17,17.5
,"Lake County, CA",6033,17,64386,Unreliable,Unreliable
,"Los Angeles County, CA",6037,863,10039107,8.6,8.1
,"Madera County, CA",6039,18,157327,Unreliable,Unreliable
,"Marin County, CA",6041,47,258826,18.2,16.6
,"Mendocino County, CA",6045,21,86749,24.2,21.6
,"Merced County, CA",6047,28,277680,10.1,11.1
,"Monterey County, CA",6053,42,434061,9.7,9.4
,"Napa County, CA",6055,19,137744,Unreliable,Unreliable
,"Nevada County, CA",6057,20,99755,20,16.9
,"Orange County, CA",6059,345,3175692,10.9,10
,"Placer County, CA",6061,59,398329,14.8,12.5
,"Riverside County, CA",6065,320,2470546,13,12.6
,"Sacramento County, CA",6067,207,1552058,13.3,13.1
,"San Bernardino County, CA",6071,236,2180085,10.8,10.7
,"San Diego County, CA",6073,426,3338330,12.8,12.2
,"San Francisco County, CA",6075,90,881549,10.2,9
,"San Joaquin County, CA",6077,82,762148,10.8,10.8
,"San Luis Obispo County, CA",6079,47,283111,16.6,15.5
,"San Mateo County, CA",6081,62,766573,8.1,7.5
,"Santa Barbara County, CA",6083,61,446499,13.7,13.2
