December 2018 - November 2019 Contiguous U.S. County Precipitation
Units: Inches
Missing: -99,Rank out of 125 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",51.28,51,-2.22,53.5
AL-003,"Baldwin County",61.11,57,-0.8,61.91
AL-005,"Barbour County",43.67,18,-8.64,52.31
AL-007,"Bibb County",56.4,68,1.22,55.18
AL-009,"Blount County",67.61,113,12.07,55.54
AL-011,"Bullock County",47.96,38,-4.11,52.07
AL-013,"Butler County",50.74,34,-4.94,55.68
AL-015,"Calhoun County",62.37,106,9.03,53.34
AL-017,"Chambers County",57.93,91,4.63,53.3
AL-019,"Cherokee County",65.04,113,11.5,53.54
AL-021,"Chilton County",51.06,43,-3.11,54.17
AL-023,"Choctaw County",63.94,100,7.12,56.82
AL-025,"Clarke County",55.63,51,-2.28,57.91
AL-027,"Clay County",62.62,98,6.8,55.82
AL-029,"Cleburne County",58.8,89,4.88,53.92
AL-031,"Coffee County",45.4,16,-10.81,56.21
AL-033,"Colbert County",71.87,121,18.33,53.54
AL-035,"Conecuh County",54.46,41,-3.55,58.01
AL-037,"Coosa County",56.72,74,2.1,54.62
AL-039,"Covington County",51.63,32,-7.0,58.63
AL-041,"Crenshaw County",49.79,35,-5.56,55.35
AL-043,"Cullman County",69.89,117,13.81,56.08
AL-045,"Dale County",44.23,18,-10.18,54.41
AL-047,"Dallas County",49.62,38,-3.17,52.79
AL-049,"DeKalb County",66.21,108,10.75,55.46
AL-051,"Elmore County",52.71,57,-0.73,53.44
AL-053,"Escambia County",55.12,34,-5.32,60.44
AL-055,"Etowah County",68.12,114,13.71,54.41
AL-057,"Fayette County",82.43,125,26.18,56.25
AL-059,"Franklin County",75.85,121,21.15,54.7
AL-061,"Geneva County",48.03,21,-9.19,57.22
AL-063,"Greene County",65.92,115,12.98,52.94
AL-065,"Hale County",60.37,104,6.65,53.72
AL-067,"Henry County",45.01,24,-8.34,53.35
AL-069,"Houston County",48.65,32,-5.52,54.17
AL-071,"Jackson County",66.3,110,11.54,54.76
AL-073,"Jefferson County",57.7,78,2.19,55.51
AL-075,"Lamar County",79.86,123,24.91,54.95
AL-077,"Lauderdale County",71.19,117,17.21,53.98
AL-079,"Lawrence County",71.04,117,17.63,53.41
AL-081,"Lee County",52.61,68,0.31,52.3
AL-083,"Limestone County",71.11,119,17.4,53.71
AL-085,"Lowndes County",50.39,51,-1.96,52.35
AL-087,"Macon County",50.95,63,-0.77,51.72
AL-089,"Madison County",70.07,118,15.71,54.36
AL-091,"Marengo County",49.38,37,-4.79,54.17
AL-093,"Marion County",79.07,121,23.48,55.59
AL-095,"Marshall County",65.52,112,11.13,54.39
AL-097,"Mobile County",65.69,80,3.18,62.51
AL-099,"Monroe County",50.55,30,-6.69,57.24
AL-101,"Montgomery County",51.27,62,-0.84,52.11
AL-103,"Morgan County",68.17,115,14.21,53.96
AL-105,"Perry County",51.72,50,-1.85,53.57
AL-107,"Pickens County",76.98,121,23.59,53.39
AL-109,"Pike County",49.18,36,-5.19,54.37
AL-111,"Randolph County",61.12,97,6.45,54.67
AL-113,"Russell County",46.85,44,-3.01,49.86
AL-115,"St. Clair County",61.41,95,6.32,55.09
AL-117,"Shelby County",57.02,76,2.17,54.85
AL-119,"Sumter County",60.39,98,6.3,54.09
AL-121,"Talladega County",60.04,97,6.36,53.68
AL-123,"Tallapoosa County",56.57,76,2.34,54.23
AL-125,"Tuscaloosa County",66.58,110,11.18,55.4
AL-127,"Walker County",67.29,107,10.78,56.51
AL-129,"Washington County",70.38,106,10.68,59.7
AL-131,"Wilcox County",45.85,23,-8.4,54.25
AL-133,"Winston County",76.33,123,19.9,56.43
AZ-001,"Apache County",12.61,63,-0.84,13.45
AZ-003,"Cochise County",17.09,107,2.46,14.63
AZ-005,"Coconino County",13.63,72,0.05,13.58
