January - December 2019 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 126 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",66.7,126,2.8,63.9
AL-003,"Baldwin County",68.8,122,2.1,66.7
AL-005,"Barbour County",66.9,123,2.2,64.7
AL-007,"Bibb County",64.9,122,2.1,62.8
AL-009,"Blount County",63.6,124,3.0,60.6
AL-011,"Bullock County",66.6,124,2.4,64.2
AL-013,"Butler County",67.2,126,2.6,64.6
AL-015,"Calhoun County",63.8,124,2.8,61
AL-017,"Chambers County",64.0,124,2.5,61.5
AL-019,"Cherokee County",62.9,122,2.3,60.6
AL-021,"Chilton County",65.1,123,2.4,62.7
AL-023,"Choctaw County",66.5,120,2.0,64.5
AL-025,"Clarke County",67.0,123,2.2,64.8
AL-027,"Clay County",63.2,123,2.5,60.7
AL-029,"Cleburne County",62.8,124,2.9,59.9
AL-031,"Coffee County",67.9,126,2.5,65.4
AL-033,"Colbert County",62.1,123,2.2,59.9
AL-035,"Conecuh County",67.9,124,2.5,65.4
AL-037,"Coosa County",64.6,123,2.4,62.2
AL-039,"Covington County",67.9,125,2.3,65.6
AL-041,"Crenshaw County",66.8,121,2.4,64.4
AL-043,"Cullman County",63.0,125,2.7,60.3
AL-045,"Dale County",68.1,126,2.4,65.7
AL-047,"Dallas County",67.1,126,2.8,64.3
AL-049,"DeKalb County",61.2,117,2.0,59.2
AL-051,"Elmore County",66.3,123,2.6,63.7
AL-053,"Escambia County",68.4,125,2.4,66
AL-055,"Etowah County",63.5,123,2.6,60.9
AL-057,"Fayette County",63.8,116,1.9,61.9
AL-059,"Franklin County",62.0,121,2.0,60
AL-061,"Geneva County",68.5,126,2.4,66.1
AL-063,"Greene County",65.2,113,1.3,63.9
AL-065,"Hale County",65.3,115,1.6,63.7
AL-067,"Henry County",68.0,126,2.3,65.7
AL-069,"Houston County",69.0,126,2.5,66.5
AL-071,"Jackson County",61.1,115,1.7,59.4
AL-073,"Jefferson County",64.5,123,2.7,61.8
AL-075,"Lamar County",63.9,116,1.8,62.1
AL-077,"Lauderdale County",61.9,123,2.4,59.5
AL-079,"Lawrence County",61.8,115,1.7,60.1
AL-081,"Lee County",65.4,124,2.4,63
AL-083,"Limestone County",62.4,124,2.6,59.8
AL-085,"Lowndes County",67.4,126,2.9,64.5
AL-087,"Macon County",66.4,124,2.4,64
AL-089,"Madison County",62.2,123,2.2,60
AL-091,"Marengo County",66.1,119,1.8,64.3
AL-093,"Marion County",62.5,115,1.8,60.7
AL-095,"Marshall County",62.7,123,2.4,60.3
AL-097,"Mobile County",68.8,125,2.4,66.4
AL-099,"Monroe County",67.9,126,2.8,65.1
AL-101,"Montgomery County",67.2,123,2.8,64.4
AL-103,"Morgan County",62.6,124,2.4,60.2
AL-105,"Perry County",65.8,124,2.2,63.6
AL-107,"Pickens County",64.9,115,1.8,63.1
AL-109,"Pike County",66.8,121,2.2,64.6
AL-111,"Randolph County",63.2,125,2.7,60.5
AL-113,"Russell County",66.5,125,2.3,64.2
AL-115,"St. Clair County",64.0,124,2.8,61.2
AL-117,"Shelby County",64.5,123,2.5,62
AL-119,"Sumter County",65.6,116,1.6,64
AL-121,"Talladega County",64.3,123,2.5,61.8
AL-123,"Tallapoosa County",64.4,124,2.3,62.1
AL-125,"Tuscaloosa County",64.8,117,1.8,63
AL-127,"Walker County",63.7,121,2.1,61.6
AL-129,"Washington County",67.1,118,1.8,65.3
AL-131,"Wilcox County",67.4,126,2.6,64.8
AL-133,"Winston County",62.0,119,1.8,60.2
AZ-001,"Apache County",50.5,90,0.7,49.8
AZ-003,"Cochise County",61.1,90,0.8,60.3
AZ-005,"Coconino County",52.5,85,0.8,51.7
AZ-007,"Gila County",59.8,99,1.3,58.5
AZ-009,"Graham County",61.3,96,1.0,60.3
